rank,topic,category,type,priority_tier,volume,top_matching_keyword,status
74,Highlighter,Face Makeup,Baseline,P1,275100,highlighter,Already Doing
75,Myglamm,Other/Brand,3rd Party Brand,P1,269200,myglamm,Already Doing
76,Blush,Face Makeup,Baseline,P1,268900,blush,Already Doing
77,Denver,Other/Brand,3rd Party Brand,P1,265500,denver perfume,Already Doing
78,Sebamed,Other/Brand,3rd Party Brand,P1,265000,sebamed shampoo,Already Doing
79,Dyson,Other/Brand,3rd Party Brand,P1,262900,dyson,Already Doing
80,Skin Toner,Skincare,Baseline,P1,261300,toner,Already Doing
81,Glycolic Acid (AHA),Skincare,Baseline,P1,260200,glycolic acid cream,Already Doing
82,Whisper,Other/Brand,3rd Party Brand,P1,259900,whisper pads,Already Doing
83,Gels & Waxes,Other/Brand,Baseline,P1,257200,best hair wax for men,Already Doing
84,Face Primer,Face Makeup,New Product/Ingredient,P1,249000,primer,Already Doing
85,Makeup Brushes & Tools,Other/Brand,New Product/Ingredient,P1,248800,makeup brush,Already Doing
86,Night Creams,Other/Brand,Baseline,P1,245600,night creams,Already Doing
87,Neutrogena,Other/Brand,3rd Party Brand,P1,222500,neutrogena sunscreen,Already Doing
88,Streax,Other/Brand,3rd Party Brand,P1,219700,streax hair serum,Already Doing
89,Tresemme,Other/Brand,3rd Party Brand,P1,217900,tresemme shampoo,Already Doing
90,Biotique,Other/Brand,3rd Party Brand,P1,214600,biotique face wash,Already Doing
91,Sanitary -napkin Period Panties,Other/Brand,Baseline,P1,213900,sanitary pads,Already Doing
92,Hair Wax And Gel,Hair Care,Baseline,P1,207000,best hair wax for men,Already Doing
93,Derma Co,Other/Brand,3rd Party Brand,P1,206100,the derma co,Already Doing
94,Bare Anatomy,Other/Brand,3rd Party Brand,P1,205000,bare anatomy,Already Doing
95,Swiss Beauty,Other/Brand,3rd Party Brand,P1,204480,swiss beauty lipstick,Already Doing
96,Ghar Soaps,Body Care,3rd Party Brand,P1,201000,ghar soaps,Already Doing
97,Cerave,Other/Brand,3rd Party Brand,P1,200500,cerave moisturizer,Already Doing
98,BB / CC Cream,Other/Brand,New Product/Ingredient,P1,198200,bb cream,Already Doing
99,The Man Company,Other/Brand,3rd Party Brand,P1,197600,the man company,Already Doing
100,Compact Powder,Face Makeup,Baseline,P1,195100,compact powder,Already Doing
101,Wild Stone,Other/Brand,3rd Party Brand,P1,192600,wild stone perfume,Already Doing
102,Dior,Other/Brand,3rd Party Brand,P1,191000,dior,Already Doing
103,Mcaffeine,Other/Brand,3rd Party Brand,P1,189200,mcaffeine,Already Doing
104,Mists/Sprays,Fragrance,Baseline,P1,184500,body mist,Already Doing
105,Stayfree,Other/Brand,3rd Party Brand,P1,181900,stayfree pads,Already Doing
106,Dr Sheth,Other/Brand,3rd Party Brand,P1,181000,dr sheth sunscreen,Already Doing
107,Dr Sheth's,Other/Brand,3rd Party Brand,P1,181000,dr sheth sunscreen,Already Doing
108,Press-on Nails / Nail Extensions,Other/Brand,New Product/Ingredient,P1,171200,nail extension,Already Doing
